nohup: ignoring input
[2025-05-17 18:43:11 +0800] [3576] [INFO] Starting gunicorn 21.2.0
[2025-05-17 18:43:11 +0800] [3576] [INFO] Listening at: http://0.0.0.0:5000 (3576)
[2025-05-17 18:43:11 +0800] [3576] [INFO] Using worker: gevent
[2025-05-17 18:43:11 +0800] [3577] [INFO] Booting worker with pid: 3577
2025-05-17 18:43:14,156 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for teacher
2025-05-17 18:43:14,156 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for student
2025-05-17 18:43:14,156 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for teacher
2025-05-17 18:43:14,156 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for student
2025-05-17 18:43:14,156 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for teacher
2025-05-17 18:43:14,234 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for student
2025-05-17 18:43:14,234 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for teacher
2025-05-17 18:43:14,234 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for student
2025-05-17 18:43:14,234 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for teacher
2025-05-17 18:43:14,234 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for student
2025-05-17 18:43:14,234 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for teacher
2025-05-17 18:43:14,268 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for student
2025-05-17 18:43:14,268 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for teacher
2025-05-17 18:43:14,268 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for student
2025-05-17 18:43:14,268 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for teacher
2025-05-17 18:43:14,269 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for student
2025-05-17 18:43:14,269 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for teacher
2025-05-17 18:43:14,517 [INFO] [tools_register] [/react/tools_register.py]: tool registered: learning_analyze for student
2025-05-17 18:43:14,517 [INFO] [tools_register] [/react/tools_register.py]: tool registered: learning_analyze for teacher
2025-05-17 18:43:14,520 [INFO] [tools_register] [/react/tools_register.py]: tool registered: create_knowledge_point for teacher
2025-05-17 18:43:14,520 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_knowledge_point for student
2025-05-17 18:43:14,520 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_knowledge_point for teacher
2025-05-17 18:43:14,520 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_course_knowledge_points for student
2025-05-17 18:43:14,520 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_course_knowledge_points for teacher
2025-05-17 18:43:14,855 [INFO] [tools_register] [/react/tools_register.py]: tool registered: learning_analyze for student
2025-05-17 18:43:14,855 [INFO] [tools_register] [/react/tools_register.py]: tool registered: learning_analyze for teacher
2025-05-17 18:43:14,858 [INFO] [tools_register] [/react/tools_register.py]: tool registered: create_knowledge_point for teacher
2025-05-17 18:43:14,858 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_knowledge_point for student
2025-05-17 18:43:14,858 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_knowledge_point for teacher
